step,pv,prompt_sha1,prompt_head,bf16_correct,nvfp4_correct,n,bf16_min_status,bf16_max_status,nvfp4_min_status,nvfp4_max_status,bf16_min_len,nvfp4_min_len
1,0,af179cf56fe5,A checkerboard of $13$ rows and $17$ columns has a number written in each square,0,0,8,completed,completed,completed,completed,3146,2586
1,0,9a24ee513bec,Find the smallest positive integer $n$ with the following property:  for every s,0,0,8,completed,truncated_length,truncated_length,completed,4189,6117
1,0,1df8e03b6ebd,"For $n=1,2, \ldots$ let $$ S_{n}=-\log \left(\sqrt[n^{2}]{1^{1} \cdot 2^{2} \cdo",1,0,8,completed,completed,completed,completed,3415,2492
1,0,af539ea151fe,"For every real number $x$, let $\lfloor x \rfloor$ denote the greatest integer n",4,2,8,completed,completed,completed,completed,2394,2019
1,0,8df8bc2aec1d,"If $ABCD$ is a $2 \times 2$ square, $E$ is the midpoint of $\overline{AB}$, $F$ ",0,0,8,completed,completed,completed,completed,3737,3226
1,0,9a772e994054,"In tetrahedron $ABCD$, where $AB=1$, $CD=3$, the distance between $AB$ and $CD$ ",0,0,8,completed,completed,completed,completed,1817,1190
1,0,9107da74dd95,Keiko walks once around a track at exactly the same constant speed every day. Th,0,0,8,completed,completed,completed,completed,1854,1530
1,0,3a7c38c06562,The sum of the two $5$-digit numbers $AMC10$ and $AMC12$ is $123422$. What is th,0,0,8,completed,completed,completed,completed,1543,1228
2,1,527d75f4e3ad,A right hexagonal prism has height $2$. The bases are regular hexagons with side,0,0,8,truncated_length,truncated_length,truncated_length,completed,6107,7141
2,1,29d15142c7bc,"Consider the permutation of $1, 2, \ldots, n$, which we denote as $\{a_1, a_2, \",1,0,8,completed,completed,truncated_length,truncated_length,5361,5473
2,1,89fb38e4d26f,"In the diagram below, how many distinct paths are there from January 1 to Decemb",0,0,8,truncated_length,truncated_length,truncated_length,truncated_length,4433,5456
2,1,4f32e6bac287,"Let $\vartriangle ABC$ be an equilateral triangle. Points $D,E, F$ are drawn on ",0,0,8,completed,truncated_length,completed,truncated_length,5494,4976
2,1,6e6567188717,"Let $a,b,c$ be the roots of $x^3-9x^2+11x-1=0$, and let $s=\sqrt{a}+\sqrt{b}+\sq",2,1,8,truncated_length,completed,completed,completed,4059,2496
2,1,348965ba79ff,Pentagon \(ABCDE\) is inscribed in a circle such that \(ACDE\) is a square with ,0,0,8,completed,truncated_length,completed,truncated_length,4930,3963
2,1,af7e00b935cc,"The sequence of integers $a_1, a_2, \dots$ is defined as follows: - $a_1 = 1$. -",0,0,8,completed,truncated_length,truncated_length,truncated_length,4651,4733
2,1,16cf1dac733a,What is the positive difference between the two largest prime factors of $159137,0,0,8,completed,completed,completed,completed,1598,1063
3,2,6df840345213,"A $3 \times 3$ grid is to be painted with three colors: red, green, and blue, su",0,0,8,completed,completed,completed,completed,3233,3627
3,2,35d8f99009ae,For how many positive integral values of $a$ is it true that $x = 2$ is the only,1,0,8,completed,completed,completed,completed,2851,2577
3,2,8d1e6ddb459b,"Four congruent semicircles are drawn on the surface of a sphere with radius $2$,",0,0,8,completed,completed,completed,completed,3519,4725
3,2,3554cb4f0643,"In parallelogram $ABCD$, the longer side is twice the shorter side. Let $XYZW$ b",0,0,8,completed,completed,completed,completed,1528,1417
3,2,9ccbc716c575,Let $P(n)=(n-1^3)(n-2^3)\ldots (n-40^3)$ for positive integers $n$. Let $d$ be t,0,0,8,truncated_length,truncated_length,truncated_length,truncated_length,5661,5990
3,2,b034d085990f,Let $\triangle ABC$ be a right triangle with right angle $C$. Let $I$ be the inc,0,0,8,truncated_length,truncated_length,truncated_length,truncated_length,5567,4668
3,2,2ad002844e21,There are 1000 rooms in a row along a long corridor. Initially the first room co,0,0,8,completed,completed,completed,completed,3223,2576
3,2,1d3ee3256fa8,What is the largest $n$ such that there exists a non-degenerate convex $n$-gon w,0,0,8,truncated_length,truncated_length,truncated_length,truncated_length,4822,4779
4,3,5e4d8969141e,Call a positive integer $x$ a leader if there exists a positive integer $n$ such,2,1,8,completed,completed,truncated_length,completed,2954,4958
4,3,6403c1a652c3,Determine the number of integers $2 \le n \le 2016$ such that $n^n - 1$ is divis,0,0,8,truncated_length,truncated_length,truncated_length,truncated_length,4911,4609
4,3,b356e3911cb6,Determine the smallest integer $k > 1$ such that there exist $k$ distinct primes,3,3,8,completed,completed,truncated_length,completed,3933,3380
4,3,4f449cc29155,"Let $ABC$ be a triangle with $AB=20$, $AC=34$, and $BC=42$. Let $\omega_1$ and $",0,0,8,truncated_length,truncated_length,truncated_length,truncated_length,6018,5854
4,3,0f06b7fb7b20,Let $x_1< x_2 < x_3$ be the three real roots of the equation $\sqrt{2014} x^3 - ,0,0,8,truncated_length,truncated_length,completed,truncated_length,3932,1424
4,3,2a92cfa4ea2b,"The first four terms in an arithmetic sequence are \(x+y\), \(x-y\), \(xy\), and",1,1,8,completed,completed,completed,completed,2835,3067
4,3,de55c635cd37,The function $f(x) = ax^2 + bx + c$ satisfies the following conditions: 1. $f(\s,0,0,8,completed,completed,completed,completed,3005,2156
4,3,294e5f9c2ee7,"Two white pentagonal pyramids, with side lengths all the same, are glued to each",0,0,8,completed,completed,completed,completed,4198,4567
5,4,a30185ed7405,$AB$ is the diameter of circle $O$. A random point $P$ is selected on $O$ such t,1,0,8,truncated_length,completed,truncated_length,truncated_length,5664,4894
5,4,c399d378d043,"Each cell of a $29 \times 29$ table contains one of the integers $1, 2, 3, \ldot",1,0,8,truncated_length,completed,completed,truncated_length,5772,5298
